r_id,ΦR
42101027901,319.02885352830276
42101027902,343.4121830605566
42101028000,375.7630737929194
42101028100,363.9642061246417
42101028200,351.27516179068215
42101028300,375.8238257691875
42101028400,376.4528877895136
42101028500,364.55288136782866
42101028600,361.1062805406824
42101028700,380.74539738606035
42101028800,374.89761806019686
42101028901,377.7496542814189
42101028902,362.750641068054
42101029000,349.1210029638219
42101029100,328.9564497710267
42101029200,346.93325110263214
42101029300,350.5460118538041
42101029400,344.9633795849963
42101029800,308.44518820825783
42101029900,322.42599703895104
42101030000,322.81753950617053
42101030100,335.982370080766
42101030200,319.8696469773329
42101030501,308.61850295491456
42101030502,305.9698240392672
42101030600,289.7958747247602
42101030700,273.10293300948547
42101030800,274.0183472016186
42101030900,295.63135404956586
42101031000,277.26362588994795
42101031101,292.15476521954497
42101031102,304.8561837660339
42101031200,300.51501505306857
42101031300,287.6137385729794
42101031401,276.1464153838639
42101031402,272.71719310720187
42101031501,264.5483320217222
42101031502,270.90841987936864
42101031600,281.9964400499904
42101031700,295.8969790062076
42101031800,306.15895132485866
42101031900,298.150215719196
42101032000,280.35225428913196
42101032100,292.85251795533145
42101032300,278.75394547538195
42101032500,266.7400552362075
42101032600,256.7303477036279
42101032900,234.20509403484854
42101033000,246.5960818649568
42101033101,248.53966809606743
42101033102,231.78458979538684
42101033200,254.6932809725125
42101033300,243.98864911139566
42101033400,254.14994988929035
42101033500,262.88935276821815
42101033600,248.6708527584796
42101033701,233.24080696343222
42101033702,233.80562731782882
42101033800,255.60931853134014
42101033900,250.7222754743514
42101034000,240.4266652642482
42101034100,233.2216349736731
42101034200,216.16542947014247
42101034400,195.85481896853193
42101034501,217.42366705288617
42101034502,208.8895020686632
42101034600,209.96992609493734
42101034701,223.39082937727505
42101034702,225.40950625572071
42101034801,212.81259883997936
42101034802,205.399010467189
42101034803,193.99829940590513
42101034900,208.08983648122535
42101035100,174.97009922085553
42101035200,182.77560079154296
42101035301,175.9130327127813
42101035302,181.41612021501456
42101035500,191.6486723357034
42101035601,187.31340106796281
42101035602,175.16620624534693
42101035701,165.14637232353454
42101035702,161.5721553485551
42101035800,145.43943460594176
42101035900,156.5133775432435
42101036000,163.50963367834277
42101036100,154.6091631289168
42101036201,164.26858313637757
42101036202,154.70485425237402
42101036203,153.1450462623274
42101036301,136.8614383547468
42101036302,146.56156309973923
42101036303,129.66878705173903
42101036400,136.4017497094682
42101036501,129.02487653096253
42101036502,130.50422595317093
42101036600,511.83028634647167
42101036700,544.539573596717
42101036901,520.9359163434374
42101036902,550.8572110083154
42101037200,433.88556242589567
42101037300,400.21177798266956
42101037500,311.4989173614481
42101037600,574.5093406945322
42101037700,506.90924719385663
42101037800,388.2987310564013
42101037900,376.25400708016275
42101038000,340.31476961678675
42101038100,260.8260066026394
42101038200,381.74415617359455
42101038301,408.8439089271839
42101038400,194.91563803566822
42101038500,204.41035720823268
42101038600,246.28387607888118
42101038700,189.04315964213072
42101038800,260.5027492085616
42101038900,289.8326390200326
42101039001,309.20755138523157
42101039002,325.0810691951658
42101039100,440.26730127154616
42101980001,476.4224652245691
42101980002,429.72443251170574
42101980003,560.7603250620867
42101980100,270.1000945249984
42101980200,231.1262391095938
42101980300,182.98009439966833
42101980400,268.7083208406205
42101980500,399.6711316491344
42101980600,406.7367235576443
42101980701,379.00094567218565
42101980702,417.7457441351633
42101980800,301.2687533357095
42101980901,322.9138019078075
42101980902,473.580975364038
42101980903,479.0880836174741
42101980904,446.5648969757881
