w_id,ΦW
42101014201,409.0770637339083
42101014202,393.6419630572041
42101014300,392.717717362401
42101014400,413.96817300691873
42101014500,423.5006937225524
42101014600,425.4894890118892
42101014700,427.510419691331
42101014800,426.66695945224643
42101014900,420.27382862254177
42101015101,416.5440066112251
42101015102,422.7266497078309
42101015200,429.2880241027845
42101015300,431.7576394811771
42101015600,424.3940156746489
42101015700,419.395793091806
42101015800,407.2193407762836
42101016001,406.9139702645163
42101016002,413.90223035502015
42101016100,422.5625703280437
42101016200,428.7814123951774
42101016300,431.6021792522666
42101016400,436.17465931834784
42101016500,436.53099954577397
42101016600,436.49925602876226
42101016701,435.879338705736
42101016702,436.7338863186997
42101016800,433.3304372786715
42101016901,427.6246549110889
42101016902,420.34173643932735
42101017000,420.6379989187723
42101017100,427.65531064619563
42101017201,434.41978971891854
42101017202,429.7856900321167
42101017300,438.9331646463159
42101017400,441.12896404571404
42101017500,441.93178151776397
42101017601,437.1625803914224
42101017602,437.9228609421997
42101017701,428.60142456939195
42101017702,432.01451332240777
42101017800,422.9263969259306
42101017900,413.267760804746
42101018001,401.72473462369703
42101018002,398.6297347317495
42101018300,373.6969479237448
42101018400,361.9247407127548
42101018801,420.06949494715275
42101018802,417.4865205857901
42101019000,425.8038729848056
42101019100,433.5563629627179
42101019200,431.7611885273594
42101019501,441.2357334520185
42101019502,442.55829918275515
42101019700,448.2951241213625
42101019800,447.3327653560295
42101019900,445.54913862774634
42101020000,443.6958714474989
42101020101,442.638709735145
42101020102,443.7555396891465
42101020200,439.35948028174175
42101020300,445.8317681584151
42101020400,443.63871747725864
42101020500,436.528357967859
42101020600,415.5372694438928
42101020701,409.0164887986701
42101020702,397.1154056396716
42101020800,398.3679240823348
42101020900,374.6604060224548
42101021000,360.19955382610993
42101021100,373.59182272497526
42101021200,354.6023851424061
42101021300,347.0318854176041
42101021400,339.0118316621292
42101021500,323.8033786241205
42101021600,295.91447971208436
42101021700,320.4753656660103
42101021800,285.47959879532004
42101021900,273.24462577545717
42101022000,249.4086506299575
42101023100,319.5562465115743
42101023500,369.79128485460694
42101023600,375.86736217996213
42101023700,376.8608651111771
42101023800,399.2181418401034
42101023900,397.6146649453059
42101024000,414.0355058326773
42101024100,414.15599574047354
42101024200,425.4538445868307
42101024300,428.14952036632985
42101024400,433.4854191853528
42101024500,428.9920922442125
42101024600,413.44531960110095
42101024700,417.5659603721797
42101024800,407.8768047941011
42101024900,407.06835691244464
42101025200,396.2038443897851
42101025300,376.73352122393965
42101025400,372.0662059111031
42101025500,356.89263206859516
42101025600,338.94194603691807
42101025700,315.9581869973872
42101025800,330.8862090205789
42101025900,321.53597363807853
42101026000,338.71607677150627
42101026100,348.33052533717773
42101026200,365.23444349020536
42101026301,352.96847254345107
42101026302,368.8745316662403
42101026400,381.4550419307224
42101026500,395.6368385259691
42101026600,387.8912839620667
42101026700,408.0143443869667
42101026800,408.99353920533383
42101026900,410.24295277699906
42101027000,422.7402024242915
42101027100,422.6817064325764
42101027200,426.9161704008499
42101027300,438.5464105093047
42101027401,439.13043290969244
42101027402,438.7349427089749
42101027500,437.10509389642755
42101027600,431.6363376941001
42101027700,414.4384019128494
42101027800,429.1533062665482
42101027901,420.05100098572206
42101027902,430.96329846686
42101028000,439.9291351048871
42101028100,440.4529569197301
42101028200,440.6118830554332
42101028300,445.349566633931
42101028400,447.0999135973639
42101028500,446.0801907853704
42101028600,446.26387002486575
42101028700,448.06404446686935
42101028800,447.0583209140638
42101028901,443.03721778531667
42101028902,442.9049232864156
42101029000,443.7054100958276
42101029100,437.75952786079324
42101029200,437.0130007528329
42101029300,423.4027685506949
42101029400,411.40628706295104
42101029800,396.43557298396036
42101029900,402.43069124685996
42101030000,413.5304077571485
42101030100,426.059276322986
42101030200,423.6489916999421
42101030501,429.7866366528399
42101030502,427.6956695755634
42101030600,418.6418906365306
42101030700,406.0082160890088
42101030800,408.2311001572799
42101030900,422.88463370477757
42101031000,410.77835066959017
42101031101,419.865355974055
42101031102,425.6436788818312
42101031200,421.19678720787056
42101031300,413.70273950359393
42101031401,407.62602832737645
42101031402,402.12166637516486
42101031501,385.3986694778607
42101031502,395.9137147941147
42101031600,399.984011000438
42101031700,410.95074235028886
42101031800,420.61564337552795
42101031900,400.75319878958214
42101032000,389.97868438572925
42101032100,384.16220785164614
42101032300,377.4171202640118
42101032500,373.10611753004105
42101032600,367.0365145233171
42101032900,347.10948304528847
42101033000,359.14668126953643
42101033101,369.8797567736948
42101033102,352.2342548593477
42101033200,381.18897439840305
42101033300,375.7609214121683
42101033400,387.70077643637904
42101033500,398.11975467081265
42101033600,385.0114885172152
42101033701,367.28103296426
42101033702,369.1339476829587
42101033800,391.9685849417255
42101033900,383.19114924873423
42101034000,375.43099463299154
42101034100,365.1190549745911
42101034200,345.19674067455446
42101034400,320.2378903893645
42101034501,347.6313672806266
42101034502,336.6095679392421
42101034600,334.6024655522813
42101034701,353.3180537662762
42101034702,352.28596467873217
42101034801,332.6061931531289
42101034802,326.6229030704892
42101034803,308.6569127821946
42101034900,318.0925793099709
42101035100,270.4792982582398
42101035200,288.26140660820727
42101035301,282.95733864053096
42101035302,292.9675680352331
42101035500,311.63801747842297
42101035601,307.6464787320285
42101035602,290.63736085065375
42101035701,275.6947926553958
42101035702,270.8220484593926
42101035800,247.07481520621184
42101035900,262.33966668134354
42101036000,269.95451342301675
42101036100,256.4484652297796
42101036201,269.86452194717464
42101036202,256.1347796320515
42101036203,251.70515113567214
42101036301,227.24463027498516
42101036302,244.6530938076612
42101036303,218.26279740873255
42101036400,227.91850475880585
